3dsmaxwlx | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3.0.1 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=1.3.0.1,1.3.0.1/1.3.0.1 | packages=
7zip-plugin | VersionDisagreement | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=0.7.6.5a | source statuses=ghisler-plugins:Success,totalcmd.net:Success | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
acehelper | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.3.7 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=0.0.3.6/0.0.3.6 | packages=
ampview | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=3.3 beta 3 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=3.5.0.0,3.5.0.0/3.5.0.0 | packages=
anytag | NeedsOfficialSource | source=totalcmd.net | authority=CommunityCatalog | reported=1.00 | source statuses=totalcmd.net:Success | package=Verified | verified aliases=anytag.wdx | raw/local=—/ | packages=https://totalcmd.net/download.php?id=wdx_anytag=anytag.wdx
anyxml | NeedsOfficialSource | source=totalcmd.net index | authority=CommunityCatalog | reported=0.3.3 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Verified | verified aliases=anyXML.wdx | raw/local=—/ | packages=https://totalcmd.net/download.php?id=anyXML=anyXML.wdx
archview64 | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.9.3.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=archview64=unavailable (TaskCanceledException)
arcview | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=1.2.0.28 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=arcview=unavailable (TaskCanceledException)
asnview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
audiotagview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.6.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
avi | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
b4slister | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.01 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
badcopy_1_0_0_4 | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.0.4 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=1, 0, 0, 5/1, 0, 0, 5 | packages=
baseview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=1.2.0.0/1.2.0.0 | packages=
bitchaos | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—,—/ | packages=
cadview | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=9.1.5 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=14.1.0.4,14.1.0.4/14.1.0.4 | packages=
calendar | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
catalogmaker | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=4.1.3 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=4.1.3.0,4.1.3.0/4.1.3.0 | packages=
cdocprop | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
certview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=2.9.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
chmdir | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=0.41 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=0.41-alpha,0.41-alpha/ | packages=https://totalcmd.net/download.php?id=chmdir=unavailable (TaskCanceledException)
cliphistwfx | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.1.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
cloudmailru | SourceUnavailable | source=— | authority=— | reported=— | source statuses=github:Unavailable | package=MetadataOnly | verified aliases= | raw/local=1.20.1.1,1.0.2.0/ | packages=
codeviewer | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
crc32tag | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.25beta | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
csv-viewer | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
cudalister | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.8.6.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=CudaLister=unavailable (TaskCanceledException)
datatab | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
dbx | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
dcl | PackageIdentityMismatch | source=totalcmd.net index | authority=CommunityCatalog | reported=0.2.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Ambiguous | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=DCL=unavailable (TaskCanceledException);https://wincmd.ru/files/1817612/dcl_bin64_0.2.zip=identity mismatch
descriptedit | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=descriptedit=unavailable (TaskCanceledException)
devman | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.4 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=1.4/1.4 | packages=
dircbm | PackageIdentityMismatch | source=totalcmd.net index | authority=CommunityCatalog | reported=0.14 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Ambiguous | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=DIRCBM=unavailable (TaskCanceledException);https://wincmd.ru/files/1817612/dircbm_bin64_0.14.zip=identity mismatch
dirsizecalc | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=2.22 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=2.22,2.22,2.22/2.22 | packages=https://totalcmd.net/download.php?id=dirsizecalc=unavailable (TaskCanceledException)
